*** Installation started 2008/05/02 01:44 ***
Source: C:\Archivos de programa\w3af\pygobject-2.14.1-1.win32-py2.5.exe
999 Root Key: HKEY_LOCAL_MACHINE
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\pygobject-py2.5]DisplayName=Python 2.5 pygobject-2.14.1
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\pygobject-py2.5]UninstallString="C:\Python25\Removepygobject.exe" -u "C:\Python25\pygobject-wininst.log"
200 File Copy: C:\Python25\include\pygtk-2.0\pygobject.h
200 File Copy: C:\Python25\lib\pkgconfig\pygobject-2.0.pc
100 Made Dir: C:\Python25\share\gtk-doc\html\pygobject
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobject.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectgboxed.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectginterface.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectgpointer.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectmaincontext.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectmainloop.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-class-reference.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-constants.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-functions.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\index.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\pygobject-introduction.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\style.css
100 Made Dir: C:\Python25\share\pygobject
100 Made Dir: C:\Python25\share\pygobject\xsl
200 File Copy: C:\Python25\share\pygobject\xsl\common.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\devhelp.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.py
200 File Copy: C:\Python25\share\pygobject\xsl\html.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\pdf-style.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\pdf.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\ref-html-style.xsl
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pth
200 File Copy: C:\Python25\Lib\site-packages\pygtk.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\pygobject-2.14.1-py2.5.egg-info
100 Made Dir: C:\Python25\Lib\site-packages\gtk-2.0\gobject
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\_gobject.pyd
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.py
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.py
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.pyc
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pyc
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.pyc
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.pyo
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pyo
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.pyo
300 Run Script: [python25.dll]C:\Python25\Scripts\pygobject_postinstall.py
*** Installation finished 2008/05/02 01:44 ***
*** Installation started 2008/06/02 19:03 ***
Source: C:\Archivos de programa\w3af\pygobject-2.14.1-1.win32-py2.5.exe
999 Root Key: HKEY_LOCAL_MACHINE
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\pygobject-py2.5]DisplayName=Python 2.5 pygobject-2.14.1
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\pygobject-py2.5]UninstallString="C:\Python25\Removepygobject.exe" -u "C:\Python25\pygobject-wininst.log"
200 File Copy: C:\Python25\include\pygtk-2.0\pygobject.h
200 File Copy: C:\Python25\lib\pkgconfig\pygobject-2.0.pc
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobject.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectgboxed.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectginterface.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectgpointer.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectmaincontext.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectmainloop.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-class-reference.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-constants.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-functions.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\index.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\pygobject-introduction.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\style.css
200 File Copy: C:\Python25\share\pygobject\xsl\common.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\devhelp.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.py
200 File Copy: C:\Python25\share\pygobject\xsl\html.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\pdf-style.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\pdf.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\ref-html-style.xsl
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pth
200 File Copy: C:\Python25\Lib\site-packages\pygtk.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\pygobject-2.14.1-py2.5.egg-info
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\_gobject.pyd
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.py
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.py
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.pyc
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pyc
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.pyc
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.pyo
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pyo
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.pyo
300 Run Script: [python25.dll]C:\Python25\Scripts\pygobject_postinstall.py
*** Installation finished 2008/06/02 19:03 ***
*** Installation started 2008/07/23 00:15 ***
Source: C:\Archivos de programa\w3af\pygobject-2.14.1-1.win32-py2.5.exe
999 Root Key: HKEY_LOCAL_MACHINE
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\pygobject-py2.5]DisplayName=Python 2.5 pygobject-2.14.1
040 Reg DB Value: [Software\Microsoft\Windows\CurrentVersion\Uninstall\pygobject-py2.5]UninstallString="C:\Python25\Removepygobject.exe" -u "C:\Python25\pygobject-wininst.log"
200 File Copy: C:\Python25\include\pygtk-2.0\pygobject.h
200 File Copy: C:\Python25\lib\pkgconfig\pygobject-2.0.pc
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobject.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectgboxed.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectginterface.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectgpointer.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectmaincontext.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\class-gobjectmainloop.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-class-reference.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-constants.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\gobject-functions.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\index.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\pygobject-introduction.html
200 File Copy: C:\Python25\share\gtk-doc\html\pygobject\style.css
200 File Copy: C:\Python25\share\pygobject\xsl\common.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\devhelp.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.py
200 File Copy: C:\Python25\share\pygobject\xsl\html.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\pdf-style.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\pdf.xsl
200 File Copy: C:\Python25\share\pygobject\xsl\ref-html-style.xsl
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pth
200 File Copy: C:\Python25\Lib\site-packages\pygtk.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\pygobject-2.14.1-py2.5.egg-info
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.py
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\_gobject.pyd
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.py
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.py
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\propertyhelper.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\option.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\constants.pyc
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\dsextras.pyc
200 File Copy: C:\Python25\Lib\site-packages\pygtk.pyc
200 File Copy: C:\Python25\share\pygobject\xsl\fixxref.pyc
200 File Copy: C:\Python25\Scripts\pygobject_postinstall.pyo
200 File Copy: C:\Python25\Lib\site-packages\gtk-2.0\gobject\__init__.pyo
